奉恩將軍西清額,旭英第七子。乾隆四十九年，封奉恩將軍。嘉慶五年，卒。
奉恩將軍玉廣,西清額第一子。嘉慶六年，襲奉恩將軍。十三年，卒。
輔國公法布蘭,巴鼐第四子。康熙三十三年，封三等輔國將軍。雍正九年，卒。乾隆十五年，追封輔國公。
輔國和?公法爾善,法布蘭第一子。雍正五年，襲阿布蘭之輔國公。乾隆五年，卒。諡曰和?。
三等鎮國將軍祿慶,法爾善第二子。乾隆五年，襲輔國公。二十三年，緣事降三等鎮國將軍。二十七年，卒。
三等鎮國將軍倫成,祿慶子。乾隆二十七年，襲三等鎮國將軍。五十七年，卒。
鎮國將軍定明,炳康子。乾隆五十八年，襲倫成之鎮國將軍。嘉慶五年，卒。
鎮國將軍碩壽,定明第一子。嘉慶五年，襲鎮國將軍。道光九年，卒。
鎮國將軍保英,碩壽子。道光十年，襲鎮國將軍。光緒十年，卒。
鎮國將軍景勳,保英子。光緒十四年，襲鎮國將軍。二十五年，卒。
鎮國將軍安齡,景勳第一子。光緒二十八年，襲鎮國將軍。
鎮國悼愍公固鼐,薩弼第二子。順治十二年，襲鎮國公。十五年，卒諡曰悼愍。無嗣。
敬謹莊親王尼堪,褚英第三子。萬曆38庚戌年五月十一日未時生，母繼夫人納喇氏，清佳努之女，天聰九年，以功封貝子。順治元年，晉貝勒。五年，晉敬謹郡王。六年，晉敬謹親王。尋緣事降郡王。八年，復封親王。九年十一月二十三日，薨。諡曰莊。嫡福晉鈕祜祿氏，巴圖魯公額宜都之女；繼福晉烏珠穆秦岱巴圖爾之女；三娶福晉瓜爾佳氏，子羅薩順科羅巴圖魯之女；側福晉烏珠穆秦岱巴圖爾之女；庶福晉蒙固爾岱之女。二子：長子已革敬謹親王蘭布，次子和碩敬謹悼親王尼思哈。（第三女嫁滿珠習禮四子額爾克鄂齊爾。）
鎮國公蘭布,尼堪第一子。順治十三年，封三等輔國將軍。十八年，襲貝勒。康熙六年，襲敬謹郡王。七年，以父尼堪功襲親王。八年，緣事降鎮國公。十七年，卒。十九年，緣事追削。
輔國悼愍公品級賴士,蘭布第四子。康熙十八年，襲輔國公。五十三年，緣事革退。雍正八年，授輔國公品級。十年，卒。諡曰悼愍。
輔國簡恪公伊爾敦,賴士第二子。雍正四年，襲輔國公。乾隆十四年，卒。諡曰簡恪。
輔國公富春,伊爾敦第七子。乾隆十四年，襲輔國公。四十二年，緣事革退。
鎮國公斌英,富春第三子。乾隆二十七年，封二等奉國將軍。十二年，襲輔國公。四十三年，晉鎮國公。嘉慶四年，卒。
鎮國公果爾豐阿,斌英第一子。乾隆四十九年，封二等輔國將軍。嘉慶五年，襲鎮國公。道光七年，卒。
輔國公有麟,果爾豐阿第二子。道光元年，封輔國將軍。八年，襲鎮國公。十二年，緣事降輔國公。十九年，緣事革退。
二等輔國將軍玉潔,有麟第一子。道光十八年，封二等輔國將軍。同治十三年，卒。
鎮國公有鳳,果爾豐阿第四子。道光四年，封輔國將軍。十九年，襲鎮國公。咸豐十年，卒。
順樂,有鳳族姪。
鎮國公桂池,順樂子。同治元年，襲有鳳之鎮國公。五年，緣事革退。
鎮國公桂豐,順樂子。同治六年，襲鎮國公。光緒十八年，卒。
鎮國公全榮,桂豐第一子。光緒十四年，封一等輔國將軍。十八年，襲鎮國公。
一等輔國將軍全福,桂豐第三子。光緒二十年，封一等輔國將軍。二十五年，卒。無嗣。
輔國將軍有興,果爾豐阿第五子。道光四年，封輔國將軍。咸豐六年，卒。
奉國將軍玉鎮,有興第三子。咸豐七年，襲奉國將軍。同治元年，緣事革退。
一等輔國將軍博爾慶阿,斌英第二子。乾隆四十九年，封一等輔國將軍。五十七年，卒。無嗣。
二等輔國將軍斌泰,富春第五子。乾隆三十五年，封二等輔國將軍。四十二年，卒。
奉國將軍伊忠阿,斌泰第一子。乾隆四十二年，襲奉國將軍。道光二十年，卒。
奉恩將軍德鼐,伊忠阿第一子。嘉慶二十一年，封奉恩將軍。道光二十年，卒。
奉恩將軍致祥,德鼐子。道光二十一年，襲奉恩將軍。咸豐八年，卒。無嗣。
二等輔國將軍斌靜,富春第七子。乾隆四十年，封二等輔國將軍。嘉慶二十三年，緣事革退。
輔國公務友,蘭布第五子。康熙十八年，封輔國公。四十八年，卒。
輔國公富增,務友第六子。康熙四十八年，襲三等鎮國將軍。五十三年，襲賴士之輔國公。雍正四年，緣事革退。
三等鎮國將軍富宏,務友第七子。雍正四年，襲三等鎮國將軍。十三年，卒。
三等輔國將軍阿?圖,富宏第二子。雍正十三年，襲三等輔國將軍。乾隆二十七年，因病告退。
三等奉國將軍惠英,阿?圖第八子。乾隆二十八年，襲三等奉國將軍。道光四年，卒。
奉恩將軍煥魁,惠英第一子。乾隆五十五年，封奉恩將軍。道光十八年，卒。
訥爾和春,煥魁子。
奉恩將軍濯麟,訥爾和春子。道光十九年，襲奉恩將軍。咸豐十年，卒。
奉恩將軍近光,濯麟第一子。咸豐十一年，襲奉恩將軍。光緒九年，緣事革退。
奉恩將軍煥明,惠英第二子。乾隆五十五年，封奉恩將軍。道光十一年，卒。
舒錦,煥明子。
奉恩將軍緝御,舒錦子。道光十二年，襲奉恩將軍。同治元年，緣事革退。
拜音布,務友子。
奉恩將軍玖雅圖,拜音布子。雍正四年，封奉恩將軍。十三年，卒。無嗣。
敬謹悼親王尼思哈,尼堪第二子。順治十年，襲敬謹親王。十七年，薨。諡曰悼。無嗣。
